source https://www.rba.gov.au/statistics/historical-data.html
Source,WM/Reuters,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,IMF
Publication date,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,28-Nov-2014,29-Dec-2017,30-Nov-2015,29-Dec-2017
Series ID,FXRUSD,FXRTWI,FXRCR,FXRJY,FXREUR,FXRSKW,FXRUKPS,FXRSD,FXRIRE,FXRTB,FXRNZD,FXRNTD,FXRMR,FXRIR,FXRVD,FXRUAED,FXRPNGK,FXRHKD,FXRCD,FXRSARD,FXRSF,FXRPHP,FXRSDR
02-Jan-2014,0.8912,68.60,5.3925,93.83,0.6483,936.21,0.5372,1.1277,55.10,29.36,1.0842,26.60,2.9245,10849,18813,3.2729,2.1579,6.9107,0.9478,9.3487,0.7961,39.51,0.5787
03-Jan-2014,0.8982,69.20,5.4368,93.60,0.6574,946.39,0.5462,1.1381,56.01,29.64,1.0899,26.90,2.9582,10974,18948,3.2986,2.1748,6.9648,0.9560,9.5726,0.8076,40.10,0.5843
06-Jan-2014,0.8949,69.10,5.4166,93.41,0.6588,952.44,0.5471,1.1358,55.82,29.64,1.0837,26.85,2.9451,10952,18882,3.2865,2.1668,6.9395,0.9507,9.5557,0.8109,40.05,0.5828
07-Jan-2014,0.8920,68.90,5.3978,93.18,0.6547,952.97,0.5443,1.1325,55.65,29.53,1.0800,26.82,2.9302,10936,18817,3.2759,2.1598,6.9169,0.9526,9.4962,0.8078,39.90,0.5819
08-Jan-2014,0.8931,68.90,5.4045,93.74,0.6551,950.75,0.5440,1.1345,55.58,29.52,1.0768,26.86,2.9298,10930,18840,3.2799,2.1625,6.9254,0.9640,9.5026,0.8111,39.98,0.5819
09-Jan-2014,0.8882,68.60,5.3782,93.15,0.6541,945.73,0.5400,1.1301,55.21,29.31,1.0758,26.73,2.9111,10885,18737,3.2619,2.1506,6.8876,0.9630,9.5641,0.8100,39.76,0.5796
10-Jan-2014,0.8905,68.70,5.3897,93.44,0.6542,945.13,0.5403,1.1306,55.11,29.40,1.0800,26.74,2.9079,10862,18781,3.2704,2.1562,6.9055,0.9662,9.6094,0.8074,39.76,0.5808
13-Jan-2014,0.9036,69.40,5.4630,93.43,0.6606,954.34,0.5476,1.1423,55.60,29.84,1.0846,27.08,2.9417,10882,19057,3.3185,2.1879,7.0069,0.9844,9.6179,0.8141,40.27,0.5896
